category_list, market , funding_total_usd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|SMS|Messaging|, Messaging ,4000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Hosting|, Web Hosting ,65000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprises|Android|Mobile|, Android ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|iOS|Online Dating|Mobile|Location Based Services|Social Media|, Social Media , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,5300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Pharmaceuticals|Biotechnology|, Biotechnology ,4783500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,25920000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1011601 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,50000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel|Tourism|Curated Web|, Curated Web ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Game|, Game ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,1394250 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Payments|Software|Infrastructure|Developer APIs|Services|Enterprise Software|, Developer APIs ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,390000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Human Resources|Consulting|Social Commerce|Recruiting|Freelancers|Search|, Human Resources , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,13780000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,15152514 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,15000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,272000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Coupons|Retail Technology|Online Shopping|Payments|, Online Shopping ,25500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Security|, Security ,56567194 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Flash Storage|Security|, Flash Storage ,3393925 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video|Games|, Video ,163934 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical|Specialty Foods|Animal Feed|, Specialty Foods , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Hosting|Networking|, Networking ,1000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,2234979 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,228187 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,6246800 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Machine Learning|Network Security|, Machine Learning ,81000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Venture Capital|Peer-to-Peer|Networking|Finance|Entrepreneur|Crowdfunding|Social Media|, Entrepreneur ,1050000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Messaging|, Messaging ,750000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Security|, Security ,38064570 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Commercial Real Estate|Real Estate|, Commercial Real Estate ,17400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|Promotional|Android|Mobile|Curated Web|, Promotional , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Hosting|, Web Hosting ,2258720 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,485610 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,37956999 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Design|, Web Design , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Entertainment|Games|, Games ,450000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile Games|Design|Game|, Game ,100000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|, Analytics , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,20900 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|Enterprise Software|, Clean Technology ,1160000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,3378975 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Automotive|Clean Energy|Internet|Cloud Computing|Wireless|Software|, Cloud Computing ,9416354 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile Advertising|Mobile|Information Technology|Local|CRM|Big Data|Advertising|, Advertising ,70288000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Marketplaces|E-Commerce|, Marketplaces ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,60000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,10000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Apps|Kids|Religion|Education|, Kids ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,7000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|Software|, Advertising ,1121081 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Computer Vision|Human Computer Interaction|Enterprise Software|User Experience Design|Interface Design|Speech Recognition|Computers|Tablets|App Stores|Mobile|Software|, Interface Design , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Pets|, Pets ,762500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,385980 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Internet|Mobile|, Mobile ,15000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,3500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,440000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Business Services|, Business Services ,80000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile Devices|Consumer Electronics|, Consumer Electronics ,180000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Sports|, Sports , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Fashion|Social Games|Online Gaming|Women|, Women , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Venture Capital|Incubators|Finance|, Venture Capital , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Loyalty Programs|Social Media|E-Commerce|Enterprise Software|, E-Commerce ,12900000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Promotional|Sales and Marketing|Internet|Apps|Photography|, Photography ,9325000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Online Shopping|E-Commerce|Software|, Online Shopping ,5000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Automotive|, Automotive ,4500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Carbon|Environmental Innovation|Green|Nonprofits|, Carbon , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,27000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Real Estate|, Real Estate ,2928257 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,9300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,389673 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,10000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,1158814 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|, Education , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Market Research|Online Shopping|Shopping|, Online Shopping ,20000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,10000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Search|Human Resources|Career Management|Universities|SNS|Social Media|, Career Management , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|, Education ,65100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,3000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,200000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Photography|, Photography ,30000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|Internet|Curated Web|, Software ,876780000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,10000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Design|Web Development|Mobile|Software|, Web Design ,5100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Technology|Wireless|Mobile|, Technology ,6100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Photography|, Photography , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Development|Ticketing|Music|, Web Development ,368750 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Healthcare Services|Life Sciences|Medical|, Medical , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,8000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|Video|Games|, Video ,12800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Art|Photography|Social Media|Curated Web|, Social Media ,15873 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,3987693 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Sales and Marketing|Social Media|, Social Media ,30000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|Distribution|Digital Media|Advertising|, Distribution ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,7000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Online Gaming|Games|Mobile Games|Mobile|, Mobile Games ,3000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Internet|Internet Marketing|Advertising|, Internet Marketing ,17129760 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|Web Development|Business Development|Accounting|Software|, Finance ,1300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|Browser Extensions|Curated Web|, Curated Web ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,3050000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Real Estate|, Real Estate , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|, Education , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Hosting|, Web Hosting ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,25250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Photography|, Photography ,30500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Security|, Security , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Predictive Analytics|, Predictive Analytics ,12000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,3134880 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,6700000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Nanotechnology|, Nanotechnology , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,52588928 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Development|Internet|Finance|Task Management|Email|Collaboration|iPad|iPhone|Android|Home & Garden|Mac|Cloud Computing|Synchronization|iOS|Apps|Productivity Software|Software|, Software ,23857750 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|Analytics|Software|, E-Commerce ,6528902 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Services Industry|Health and Wellness|Health Care|, Health and Wellness , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1613014 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,10000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,295000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Startups|Network Security|Small and Medium Businesses|Shipping|Analytics|, Small and Medium Businesses ,2450000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Predictive Analytics|Analytics|Health and Wellness|, Predictive Analytics ,190035 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,3107198 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Curated Web|, Curated Web ,650000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2875000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,11110000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,47566 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Music|, Music ,20100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,1136548 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,460775 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,3989751 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Hosting|, Web Hosting ,9850000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semantic Search|SEO|Communities|Brand Marketing|Consulting|, SEO ,600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Publishing|, Publishing ,269260 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Portals|Wealth Management|Personal Finance|Finance Technology|, Personal Finance ,18500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Email|Social Media|Mobile|Loyalty Programs|Sales and Marketing|Software|SaaS|Advertising|, Social Media ,2100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Web Hosting|Networking|Software|, Web Hosting ,34000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Publishing|News|Photography|Curated Web|, Curated Web , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,5100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Digital Entertainment|Entertainment|Sports|, Digital Entertainment ,27000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|Games|, E-Commerce , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Task Management|Curated Web|, Task Management , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|Content Discovery|, Advertising ,140000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Virtual Worlds|Games|, Virtual Worlds ,12250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|Sales and Marketing|Big Data|Marketing Automation|Analytics|, Big Data , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Fashion|, Fashion , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Fitness|Tracking|Exercise|, Exercise ,200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Messaging|Social Media|Public Relations|, Public Relations ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,30000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Sports|Technology|, Technology ,79501 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Lifestyle|Retail|E-Commerce|Fashion|, Fashion , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Commerce|E-Commerce|, E-Commerce ,15590000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Music|, Music ,2779980 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel|, Travel ,24600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,150000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Telecommunications|Web Hosting|, Telecommunications ,30608728 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Consulting|, Consulting ,4500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,17700000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Sports|Soccer|Publishing|News|Media|, News ,23800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Television|Weddings|Consumer Electronics|Mobile|Apps|Social Media|, Television ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,20000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,317460 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,30000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,4502251 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,63590263 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|Curated Web|, Finance ,19790000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,1380700 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Local Businesses|, Local Businesses ,560000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Payments|E-Commerce|, Payments ,81574271 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Marketplaces|Online Shopping|Crowdsourcing|Design|, Design ,35000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|File Sharing|Fashion|, Fashion ,105651 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Automotive|, Automotive ,75000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Human Resources|Big Data Analytics|Big Data|Social Network Media|Social Recruiting|Recruiting|Enterprise Software|, Enterprise Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Commerce|E-Commerce|, E-Commerce ,20000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,7575757 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,210000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Automotive|Cars|E-Commerce|, Automotive ,80000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Restaurants|Point of Sale|, Restaurants , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,9600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|SEO|Social Media|, SEO ,70000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel|, Travel , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,1432051 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,2800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Business Analytics|Enterprise Software|SaaS|Software|, SaaS ,4100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Technology|Software|, Software ,900000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video|Photography|, Photography ,10000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Training|Presentations|iPad|Enterprises|SaaS|Enterprise Software|, Enterprise Software ,925000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,435400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Virtual Worlds|Games|, Games ,100000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,700000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Email Marketing|SaaS|E-Commerce|Mobile Payments|Mobile|, Mobile Payments ,3500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Security|, Security ,450000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel & Tourism|, Travel & Tourism , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Games|Games|, Social Games ,10312103 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Games|, Games ,560248 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
